Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Vlatko Cancar (13657521),Vlatko Cancar,13657521,SF/F/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DEN,0
SF/PF,Michael Porter Jr. (13657524),Michael Porter Jr.,13657524,SF/PF/F/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DEN,0
SF/PF,Jarred Vanderbilt (13657528),Jarred Vanderbilt,13657528,SF/PF/F/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DEN,0
C,Bol Bol (13657532),Bol Bol,13657532,C/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DEN,0
PG/SG,J.J. Barea (13657576),J.J. Barea,13657576,PG/SG/G/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DAL,0
SG/SF,Courtney Lee (13657580),Courtney Lee,13657580,SG/SF/F/G/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DAL,3.62
SG/SF,Ryan Broekhoff (13657585),Ryan Broekhoff,13657585,SG/SF/F/G/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DAL,0
SG,Antonius Cleveland (13657590),Antonius Cleveland,13657590,SG/G/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DAL,0
SG,Josh Reaves (13657593),Josh Reaves,13657593,SG/G/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DAL,0
SF/PF,Isaiah Roby (13657596),Isaiah Roby,13657596,SF/PF/F/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DAL,0
SF/PF,Jared Dudley (13657534),Jared Dudley,13657534,SF/PF/F/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,LAL,3.17
PF,DeMarcus Cousins (13657538),DeMarcus Cousins,13657538,PF/F/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,LAL,0
SG,Troy Daniels (13657541),Troy Daniels,13657541,SG/G/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,LAL,12.42
SF/PF,Kostas Antetokounmpo (13657544),Kostas Antetokounmpo,13657544,SF/PF/F/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,LAL,0.62
PG,Zach Norvell Jr. (13657548),Zach Norvell Jr.,13657548,PG/G/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,LAL,0.62
SG/SF,Talen Horton-Tucker (13657551),Talen Horton-Tucker,13657551,SG/SF/F/G/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,LAL,0
SF/PF,Solomon Hill (13657600),Solomon Hill,13657600,SF/PF/F/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,MEM,23.75
PF/C,Bruno Caboclo (13657604),Bruno Caboclo,13657604,PF/C/F/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,MEM,7.25
SF/PF,Yuta Watanabe (13657608),Yuta Watanabe,13657608,SF/PF/F/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,MEM,0
SG,John Konchar (13657612),John Konchar,13657612,SG/G/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,MEM,0
SF/PF,Josh Jackson (13657615),Josh Jackson,13657615,SF/PF/F/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,MEM,0
PG/SG,De'Anthony Melton (13657619),De'Anthony Melton,13657619,PG/SG/G/UTIL,3000,MEM@LAL 10/29/2019 10:30PM ET,MEM,5
